timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
2/13/2025 12:20,-11.982,0.239,0.742,0.169,0.062,0.018,-11.982,0.239,0.742,0.169,0.062,0.018,faulted_bearing,45
2/13/2025 12:20,-11.982,0.131,0.718,0.092,0.064,0.014,-11.982,0.131,0.718,0.092,0.064,0.014,faulted_bearing,45
2/13/2025 12:20,-11.981,0.229,0.587,0.162,0.05,0.019,-11.981,0.229,0.587,0.162,0.05,0.019,faulted_bearing,45
2/13/2025 12:20,-11.981,0.127,0.743,0.09,0.063,0.012,-11.981,0.127,0.743,0.09,0.063,0.012,faulted_bearing,45
2/13/2025 12:20,-11.981,0.231,0.618,0.164,0.053,0.018,-11.981,0.231,0.618,0.164,0.053,0.018,faulted_bearing,45
2/13/2025 12:20,-11.981,0.139,0.59,0.098,0.05,0.014,-11.981,0.139,0.59,0.098,0.05,0.014,faulted_bearing,45
2/13/2025 12:20,-11.981,0.25,0.715,0.177,0.061,0.017,-11.981,0.25,0.715,0.177,0.061,0.017,faulted_bearing,45
2/13/2025 12:20,-11.981,0.105,0.621,0.075,0.052,0.013,-11.981,0.105,0.621,0.075,0.052,0.013,faulted_bearing,45
2/13/2025 12:20,-11.981,0.228,0.804,0.161,0.065,0.018,-11.981,0.228,0.804,0.161,0.065,0.018,faulted_bearing,45
2/13/2025 12:20,-11.981,0.144,0.616,0.102,0.052,0.02,-11.981,0.144,0.616,0.102,0.052,0.02,faulted_bearing,45
2/13/2025 12:20,-11.981,0.21,0.774,0.149,0.066,0.013,-11.981,0.21,0.774,0.149,0.066,0.013,faulted_bearing,45
2/13/2025 12:20,-11.981,0.122,0.608,0.086,0.052,0.015,-11.981,0.122,0.608,0.086,0.052,0.015,faulted_bearing,45
2/13/2025 12:21,-11.981,0.136,0.789,0.096,0.068,0.02,-11.981,0.136,0.789,0.096,0.068,0.02,faulted_bearing,45
2/13/2025 12:21,-11.981,0.216,0.641,0.153,0.054,0.014,-11.981,0.216,0.641,0.153,0.054,0.014,faulted_bearing,45
2/13/2025 12:21,-11.981,0.253,0.725,0.179,0.063,0.012,-11.981,0.253,0.725,0.179,0.063,0.012,faulted_bearing,45
2/13/2025 12:21,-11.981,0.114,0.717,0.081,0.054,0.018,-11.981,0.114,0.717,0.081,0.054,0.018,faulted_bearing,45
2/13/2025 12:21,-11.981,0.139,0.607,0.098,0.05,0.013,-11.981,0.139,0.607,0.098,0.05,0.013,faulted_bearing,45
2/13/2025 12:21,-11.981,0.253,0.76,0.179,0.065,0.017,-11.981,0.253,0.76,0.179,0.065,0.017,faulted_bearing,45
2/13/2025 12:21,-11.981,0.164,0.581,0.116,0.063,0.014,-11.981,0.164,0.581,0.116,0.063,0.014,faulted_bearing,45
2/13/2025 12:21,-11.981,0.139,0.816,0.098,0.049,0.018,-11.981,0.139,0.816,0.098,0.049,0.018,faulted_bearing,45
2/13/2025 12:21,-11.981,0.227,0.618,0.16,0.066,0.018,-11.981,0.227,0.618,0.16,0.066,0.018,faulted_bearing,45
2/13/2025 12:21,-11.981,0.116,0.61,0.082,0.052,0.012,-11.981,0.116,0.61,0.082,0.052,0.012,faulted_bearing,45
2/13/2025 12:22,-11.981,0.207,0.602,0.146,0.054,0.014,-11.981,0.207,0.602,0.146,0.054,0.014,faulted_bearing,45
2/13/2025 12:22,-11.981,0.208,0.836,0.147,0.065,0.019,-11.981,0.208,0.836,0.147,0.065,0.019,faulted_bearing,45
2/13/2025 12:22,-11.981,0.138,0.59,0.098,0.05,0.013,-11.981,0.138,0.59,0.098,0.05,0.013,faulted_bearing,45
2/13/2025 12:22,-11.981,0.23,0.596,0.163,0.051,0.018,-11.981,0.23,0.596,0.163,0.051,0.018,faulted_bearing,45
2/13/2025 12:22,-11.981,0.106,0.779,0.075,0.052,0.013,-11.981,0.106,0.779,0.075,0.052,0.013,faulted_bearing,45
2/13/2025 12:22,-11.981,0.138,0.588,0.097,0.067,0.018,-11.981,0.138,0.588,0.097,0.067,0.018,faulted_bearing,45
2/13/2025 12:22,-11.981,0.237,0.775,0.167,0.05,0.014,-11.981,0.237,0.775,0.167,0.05,0.014,faulted_bearing,45
2/13/2025 12:22,-11.981,0.113,0.605,0.08,0.066,0.012,-11.981,0.113,0.605,0.08,0.066,0.012,faulted_bearing,45
2/13/2025 12:22,-11.981,0.219,0.721,0.155,0.051,0.018,-11.981,0.219,0.721,0.155,0.051,0.018,faulted_bearing,45
2/13/2025 12:22,-11.981,0.224,0.617,0.159,0.063,0.018,-11.981,0.224,0.617,0.159,0.063,0.018,faulted_bearing,45
2/13/2025 12:22,-11.981,0.127,0.779,0.09,0.065,0.012,-11.981,0.127,0.779,0.09,0.065,0.012,faulted_bearing,45
2/13/2025 12:22,-11.981,0.222,0.803,0.157,0.05,0.014,-11.981,0.222,0.803,0.157,0.05,0.014,faulted_bearing,45
2/13/2025 12:23,-11.981,0.139,0.59,0.099,0.062,0.019,-11.981,0.139,0.59,0.099,0.062,0.019,faulted_bearing,45
2/13/2025 12:23,-11.981,0.12,0.748,0.085,0.051,0.014,-11.981,0.12,0.748,0.085,0.051,0.014,faulted_bearing,45
2/13/2025 12:23,-11.981,0.225,0.603,0.159,0.051,0.018,-11.981,0.225,0.603,0.159,0.051,0.018,faulted_bearing,45
2/13/2025 12:23,-11.981,0.227,0.603,0.161,0.063,0.018,-11.981,0.227,0.603,0.161,0.063,0.018,faulted_bearing,45
2/13/2025 12:23,-11.981,0.112,0.793,0.079,0.063,0.013,-11.981,0.112,0.793,0.079,0.063,0.013,faulted_bearing,45
2/13/2025 12:23,-11.982,0.24,0.78,0.17,0.052,0.012,-11.982,0.24,0.78,0.17,0.052,0.012,faulted_bearing,45
2/13/2025 12:23,-11.981,0.158,0.575,0.112,0.067,0.018,-11.981,0.158,0.575,0.112,0.067,0.018,faulted_bearing,45
2/13/2025 12:23,-11.981,0.16,0.604,0.113,0.051,0.021,-11.981,0.16,0.604,0.113,0.051,0.021,faulted_bearing,45
2/13/2025 12:23,-11.982,0.224,0.795,0.158,0.052,0.012,-11.982,0.224,0.795,0.158,0.052,0.012,faulted_bearing,45
2/13/2025 12:23,-11.982,0.237,0.785,0.168,0.063,0.018,-11.982,0.237,0.785,0.168,0.063,0.018,faulted_bearing,45
2/13/2025 12:23,-11.981,0.13,0.588,0.092,0.065,0.014,-11.981,0.13,0.588,0.092,0.065,0.014,faulted_bearing,45
2/13/2025 12:23,-11.981,0.115,0.593,0.082,0.049,0.019,-11.981,0.115,0.593,0.082,0.049,0.019,faulted_bearing,45
2/13/2025 12:24,-11.982,0.237,0.711,0.167,0.058,0.013,-11.982,0.237,0.711,0.167,0.058,0.013,faulted_bearing,45
2/13/2025 12:24,-11.981,0.283,0.795,0.2,0.051,0.019,-11.981,0.283,0.795,0.2,0.051,0.019,faulted_bearing,45
2/13/2025 12:24,-11.982,0.123,0.573,0.087,0.064,0.014,-11.982,0.123,0.573,0.087,0.064,0.014,faulted_bearing,45
2/13/2025 12:24,-11.982,0.241,0.754,0.171,0.051,0.013,-11.982,0.241,0.754,0.171,0.051,0.013,faulted_bearing,45
2/13/2025 12:24,-11.982,0.151,0.602,0.107,0.065,0.018,-11.982,0.151,0.602,0.107,0.065,0.018,faulted_bearing,45
2/13/2025 12:24,-11.982,0.132,0.816,0.093,0.051,0.014,-11.982,0.132,0.816,0.093,0.051,0.014,faulted_bearing,45
2/13/2025 12:24,-11.982,0.231,0.61,0.164,0.067,0.013,-11.982,0.231,0.61,0.164,0.067,0.013,faulted_bearing,45
2/13/2025 12:24,-11.982,0.222,0.757,0.157,0.051,0.018,-11.982,0.222,0.757,0.157,0.051,0.018,faulted_bearing,45
2/13/2025 12:24,-11.982,0.147,0.603,0.104,0.054,0.018,-11.982,0.147,0.603,0.104,0.054,0.018,faulted_bearing,45
2/13/2025 12:24,-11.982,0.208,0.777,0.147,0.064,0.013,-11.982,0.208,0.777,0.147,0.064,0.013,faulted_bearing,45
2/13/2025 12:24,-11.982,0.122,0.606,0.086,0.069,0.019,-11.982,0.122,0.606,0.086,0.069,0.019,faulted_bearing,45
2/13/2025 12:24,-11.982,0.236,0.767,0.167,0.05,0.012,-11.982,0.236,0.767,0.167,0.05,0.012,faulted_bearing,45
2/13/2025 12:24,-11.982,0.162,0.762,0.115,0.062,0.018,-11.982,0.162,0.762,0.115,0.062,0.018,faulted_bearing,45
2/13/2025 12:24,-11.982,0.116,0.597,0.082,0.051,0.015,-11.982,0.116,0.597,0.082,0.051,0.015,faulted_bearing,45
2/13/2025 12:25,-11.982,0.208,0.652,0.147,0.064,0.013,-11.982,0.208,0.652,0.147,0.064,0.013,faulted_bearing,45
2/13/2025 12:25,-11.982,0.237,0.75,0.167,0.051,0.018,-11.982,0.237,0.75,0.167,0.051,0.018,faulted_bearing,45
2/13/2025 12:25,-11.981,0.122,0.778,0.086,0.054,0.013,-11.981,0.122,0.778,0.086,0.054,0.013,faulted_bearing,45
2/13/2025 12:25,-11.982,0.234,0.613,0.165,0.064,0.019,-11.982,0.234,0.613,0.165,0.064,0.019,faulted_bearing,45
2/13/2025 12:25,-11.981,0.109,0.728,0.077,0.051,0.014,-11.981,0.109,0.728,0.077,0.051,0.014,faulted_bearing,45
2/13/2025 12:25,-11.981,0.176,0.598,0.125,0.062,0.013,-11.981,0.176,0.598,0.125,0.062,0.013,faulted_bearing,45
