Timestamp,Ch1_Bias,Ch1_Derived_Peak,Ch1_Direct,Ch1_Direct RMS,Ch1_Veolocity_Peak,Ch1_Velocity_RMS,Ch2_Bias,Ch2_Derived_Peak,Ch2_Direct,Ch2_Direct_RMS,Ch2_Velocity_Peak,Ch2_Velocity_RMS
7/3/23 13:30,-12.032,5.162,5.636,3.65,5.525,4.59,-11.985,1.89,4.192,1.336,3.146,1.825
7/3/23 13:31,-11.408,0,0.001,0,0.001,0,-11.965,0.001,0.001,0,0.001,0
7/5/23 14:02,-12.022,0.001,0.001,0,0.152,0.085,-11.977,0.001,0.002,0,0.002,0.001
7/5/23 15:28,-12.033,0.212,0.469,0.15,0.002,0.001,-11.985,0.174,0.366,0.123,0.116,0.06
7/5/23 16:00,-12.031,0.006,0.008,0.004,0.008,0.005,-11.984,0.007,0.002,0.005,0.008,0.005
7/5/23 19:59,-12.027,0.001,0.002,0.001,0.002,0.001,-11.98,0.001,0.008,0,0.002,0.001
7/5/23 20:08,-12.028,0.002,0.002,0.002,0.002,0.001,-11.981,0.002,0.002,0.001,0.002,0.001
7/6/23 0:58,-12.025,0.001,0.005,0.001,0.003,0.002,-11.979,0.001,0.004,0,0.003,0.002
7/6/23 1:56,-12.026,0.001,0.002,0.001,0.002,0.001,-11.98,0.001,0.009,0,0.002,0.001
7/6/23 5:36,-12.024,0.004,0.013,0.003,0.015,0.003,-11.978,0.005,0.002,0.003,0.013,0.004
7/6/23 6:10,-12.024,0.003,0.002,0.002,0.007,0.004,-11.978,0.003,0.002,0.002,0.007,0.004
7/6/23 10:59,-12.026,0.001,0.005,0,0.002,0.001,-11.98,0.001,0.006,0,0.002,0.001
7/6/23 11:02,-12.026,0.013,0.064,0.01,0.024,0.009,-11.979,0.015,0.072,0.011,0.025,0.007
7/6/23 15:57,-12.028,0.001,0.002,0,0.002,0.001,-11.982,0.001,0.002,0,0.002,0.001
7/6/23 16:12,-12.028,0.01,0.019,0.007,0.02,0.008,-11.982,0.009,0.017,0.006,0.018,0.006
7/6/23 19:44,-12.027,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/6/23 20:15,-12.027,0.002,0.004,0.001,0.005,0.001,-11.981,0.002,0.002,0.001,0.005,0.001
7/7/23 0:57,-12.026,0.001,0.002,0,0.002,0.002,-11.979,0.001,0.005,0,0.002,0.002
7/7/23 1:05,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/7/23 4:11,-12.025,0.003,0.008,0.002,0.009,0.004,-11.978,0.003,0.008,0.002,0.008,0.003
7/7/23 8:48,-12.025,0.001,0.002,0,0.01,0.001,-11.98,0.004,0.002,0.003,0.01,0.006
7/7/23 9:19,-12.024,0.005,0.006,0.004,0.002,0.006,-11.978,0.001,0.006,0,0.002,0.001
7/7/23 11:06,-12.025,0.006,0.002,0.004,0.008,0.005,-11.979,0.007,0.002,0.005,0.002,0.005
7/7/23 15:08,-12.027,0.001,0.007,0,0.002,0.001,-11.981,0.001,0.008,0,0.008,0.001
7/7/23 16:46,-12.027,0.001,0.002,0.001,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.006
7/7/23 19:14,-12.027,0.004,0.007,0.003,0.014,0.006,-11.98,0.004,0.008,0.003,0.015,0.001
7/7/23 20:04,-12.027,0.001,0.002,0,0.002,0.001,-11.981,0.002,0.004,0.001,0.002,0.001
7/8/23 0:49,-12.026,0.001,0.004,0.001,0.003,0.002,-11.979,0.001,0.002,0,0.003,0.002
7/8/23 1:09,-12.026,0.001,0.002,0,0.004,0.001,-11.98,0.002,0.002,0.001,0.002,0.002
7/8/23 5:53,-12.024,0.001,0.003,0.001,0.002,0.002,-11.979,0.001,0.003,0,0.003,0.001
7/8/23 7:41,-12.024,0.001,0.002,0.001,0.002,0.002,-11.98,0.002,0.005,0.001,0.003,0.001
7/8/23 10:57,-12.026,0.002,0.005,0.001,0.003,0.001,-11.979,0.001,0.002,0,0.002,0.002
7/8/23 11:01,-12.025,0.001,0.002,0.001,0.002,0.001,-11.979,0.001,0.002,0.001,0.004,0.002
7/8/23 15:47,-12.027,0.004,0.007,0.003,0.006,0.003,-11.981,0.002,0.005,0.002,0.002,0.001
7/8/23 16:38,-12.027,0.001,0.007,0.001,0.002,0.001,-11.98,0.001,0.004,0.001,0.002,0.002
7/8/23 18:37,-12.027,0.003,0.002,0.002,0.006,0.002,-11.981,0.002,0.002,0.001,0.004,0.001
7/8/23 20:12,-12.027,0.002,0.003,0.001,0.003,0.002,-11.981,0.002,0.003,0.001,0.002,0.002
7/9/23 0:47,-12.025,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.002,0,0.003,0.001
7/9/23 1:00,-12.026,0.001,0.003,0.001,0.002,0.002,-11.98,0.002,0.002,0.001,0.003,0.001
7/9/23 5:44,-12.024,0.001,0.002,0.001,0.003,0.001,-11.978,0.001,0.005,0,0.002,0.002
7/9/23 7:27,-12.024,0.002,0.002,0.001,0.002,0.001,-11.978,0.002,0.004,0.001,0.005,0.003
7/9/23 10:59,-12.026,0.001,0.004,0,0.005,0.003,-11.98,0.001,0.002,0,0.002,0.001
7/9/23 11:00,-12.025,0.002,0.005,0.001,0.006,0.002,-11.979,0.002,0.004,0.001,0.007,0.003
7/9/23 15:24,-12.026,0.001,0.002,0.001,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.001
7/9/23 17:33,-12.027,0.002,0.003,0.001,0.002,0.002,-11.98,0.002,0.002,0.002,0.002,0.002
7/9/23 19:08,-12.026,0.001,0.002,0.001,0.006,0.001,-11.981,0.001,0.004,0,0.006,0.001
7/9/23 20:08,-12.026,0.001,0.003,0.001,0.003,0.001,-11.981,0.001,0.003,0,0.002,0.001
7/10/23 0:54,-12.025,0.001,0.002,0,0.002,0.002,-11.979,0.002,0.002,0.001,0.003,0.002
7/10/23 3:26,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/10/23 4:44,-12.024,0.003,0.007,0.002,0.008,0.004,-11.978,0.003,0.008,0.002,0.008,0.004
7/10/23 10:08,-12.023,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.001
7/10/23 10:55,-12.03,0.214,0.459,0.151,0.156,0.08,-11.983,0.205,0.412,0.145,0.141,0.067
7/10/23 11:07,-12.027,0.204,0.45,0.144,0.151,0.075,-11.985,0.197,0.399,0.139,0.138,0.069
7/10/23 11:12,-12.034,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.001
7/10/23 16:00,-12.028,0.002,0.004,0.002,0.006,0.001,-11.982,0.002,0.004,0.001,0.007,0.001
7/10/23 19:55,-12.026,0.001,0.002,0.001,0.002,0.003,-11.98,0.001,0.002,0,0.002,0.003
7/10/23 20:01,-12.027,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.002
7/11/23 0:54,-12.025,0.003,0.004,0.002,0.005,0.003,-11.979,0.002,0.005,0.001,0.004,0.001
7/11/23 1:04,-12.026,0.004,0.007,0.003,0.007,0.003,-11.98,0.001,0.002,0,0.002,0.001
7/11/23 5:22,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.004,0.008,0.003,0.006,0.003
7/11/23 6:36,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.007
7/11/23 10:57,-12.026,0.005,0.006,0.004,0.013,0.009,-11.98,0.004,0.005,0.003,0.012,0.001
7/11/23 11:02,-12.026,0.009,0.027,0.006,0.019,0.005,-11.979,0.001,0.021,0,0.002,0.001
7/11/23 15:06,-12.027,0.001,0.002,0.001,0.002,0.001,-11.981,0.007,0.002,0.005,0.018,0.004
7/11/23 17:48,-12.027,0.001,0.014,0,0.01,0.004,-11.981,0.003,0.012,0.002,0.011,0.004
7/11/23 19:09,-12.026,0.004,0.002,0.002,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/11/23 20:12,-12.027,0.002,0.002,0.002,0.002,0.003,-11.981,0.001,0.002,0,0.002,0.001
7/12/23 0:53,-12.025,0.001,0.005,0.001,0.006,0.001,-11.979,0.002,0.005,0.001,0.006,0.003
